"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20120901 ~ 20120930"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","201209","14","11,400","15","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","201209","15","9,650","8","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","39.08","201209","15","6,700","8","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","39.08","201209","15","6,700","12","1997","경강로2539번길 8"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","201209","7","14,000","1","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","201209","8","12,900","10","2005","경강로2539번길 23"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","201209","14","16,150","10","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","201209","27","15,000","12","2005","경강로2539번길 22"
"강원도 강릉시 교동","1982","1982","0000","강릉교동롯데캐슬1단지","163.9852","201209","20","31,942","3","2009","화부산로99번길 12"
"강원도 강릉시 교동","1983","1983","0000","강릉교동롯데캐슬2단지","135.1008","201209","7","25,800","2","2009","화부산로111번길 24"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","201209","1","16,150","1","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","201209","18","12,300","6","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","201209","26","12,200","13","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","201209","27","11,450","15","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","201209","28","12,399","5","1999","가작로 78"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","99.88","201209","2","16,100","1","1999","교동광장로 138-15"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","99.98","201209","12","18,000","3","1999","교동광장로 138-15"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.84","201209","20","13,300","10","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","201209","20","13,200","12","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","201209","21","12,800","2","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.79","201209","26","13,700","12","2002","교동광장로 138-12"
