"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20180901 ~ 20180930"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","23,900","16","201809","3","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","24,896","13","201809","10","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,356","3","201809","1","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,456","14","201809","9","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","27,256","9","201809","11","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,356","11","201809","19","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","81.47","28,362","16","201809","3","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,010","8","201809","4","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,750","6","201809","4","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,817","7","201809","14","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","23,629","16","201809","3","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","84.77","29,424","18","201809","6","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","84.77","27,424","12","201809","8","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","84.77","23,829","10","201809","11","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","24,279","10","201809","11","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","25,579","9","201809","11","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","23,579","13","201809","14","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","84.77","30,924","13","201809","15","분"
