"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200401 ~ 20200430"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","25,444","15","202004","1","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,616","14","202004","4","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","28,116","4","202004","6","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","28,199","12","202004","8","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","28,616","6","202004","9","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,216","16","202004","15","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,068","2","202004","15","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","25,744","12","202004","16","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","109.495","36,300","10","202004","19","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","25,344","15","202004","22","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","105.5545","39,071","7","202004","23","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","29,116","11","202004","23","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","24,444","12","202004","24","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","109.495","38,613","10","202004","26","분"
